timestamp,gesture_action,Latency,CPU Utilization
2026-05-19T00:25:09.110+08:00,Left-click,0.000090,33.8303
2026-05-19T00:25:18.103+08:00,Zoom gestures,0.000194,37.2862
2026-05-19T00:25:20.502+08:00,Right-click,0.000126,33.8703
2026-05-19T00:25:24.928+08:00,Cursor movement,0.000398,36.4567
2026-05-19T00:25:33.349+08:00,Left-click,0.000082,33.5316
2026-05-19T00:25:34.319+08:00,Cursor movement,0.000080,35.3484
2026-05-19T00:26:03.736+08:00,Left-click,0.000064,37.0107
2026-05-19T00:26:04.330+08:00,Cursor movement,0.000068,23.3937
2026-05-19T00:26:07.047+08:00,Left-click,0.000062,33.9463
2026-05-19T00:26:10.294+08:00,Cursor movement,0.000049,35.9080
2026-05-19T00:26:13.327+08:00,Left-click,0.000041,33.2475
2026-05-19T00:26:13.986+08:00,Cursor movement,0.000090,27.8761
2026-05-19T00:26:22.938+08:00,Left-click,0.000042,37.1986
2026-05-19T00:26:23.589+08:00,Cursor movement,0.000075,32.5926
2026-05-19T00:26:31.195+08:00,Left-click,0.000041,37.7533
2026-05-19T00:26:32.134+08:00,Cursor movement,0.000074,34.2593
2026-05-19T00:26:33.572+08:00,Left-click,0.000042,60.4987
2026-05-19T00:26:34.624+08:00,Cursor movement,0.000084,45.2118
2026-05-19T00:26:55.677+08:00,Pinch gestures,0.000077,38.1354
2026-05-19T00:28:33.196+08:00,Cursor movement,0.000066,37.0828
2026-05-19T00:28:39.880+08:00,Left-click,0.000042,40.4109
2026-05-19T00:28:57.925+08:00,Pinch gestures,0.000075,45.0185
2026-05-19T00:29:17.511+08:00,Cursor movement,0.000080,21.3930
2026-05-19T00:29:19.873+08:00,Double click,0.000058,38.5146
2026-05-19T00:29:20.624+08:00,Cursor movement,0.000073,21.5124
2026-05-19T00:29:23.013+08:00,Left-click,0.000064,37.0132
2026-05-19T00:29:23.654+08:00,Cursor movement,0.000047,18.7786
2026-05-19T00:29:27.012+08:00,Left-click,0.000066,36.7744
2026-05-19T00:29:27.713+08:00,Cursor movement,0.000082,46.5847
2026-05-19T00:29:33.288+08:00,Pinch gestures,0.000066,32.4455
2026-05-19T00:29:54.184+08:00,Cursor movement,0.000056,40.4274
2026-05-19T00:29:55.943+08:00,Left-click,0.000042,31.3466
2026-05-19T00:29:56.663+08:00,Cursor movement,0.000072,28.4932
2026-05-19T00:30:00.703+08:00,Pinch gestures,0.000073,37.4911
2026-05-19T00:30:36.458+08:00,Pinch gestures,0.000085,46.1908
2026-05-19T00:30:42.578+08:00,Zoom gestures,0.000120,36.0421
2026-05-19T00:30:44.455+08:00,Right-click,0.000107,28.1986
2026-05-19T00:30:45.600+08:00,Cursor movement,0.000066,37.6162
2026-05-19T00:30:49.866+08:00,Pinch gestures,0.000044,35.9061
2026-05-19T00:31:01.369+08:00,Drag and drop,0.000043,33.6740
2026-05-19T00:31:22.863+08:00,Zoom gestures,0.000119,40.0000
2026-05-19T00:31:24.296+08:00,Right-click,0.000130,39.1392
2026-05-19T00:31:54.704+08:00,Cursor movement,0.000085,39.3293
2026-05-19T00:31:58.336+08:00,Double click,0.000049,33.6797
2026-05-19T00:32:11.436+08:00,Pinch gestures,0.000064,36.2353
2026-05-19T00:32:42.018+08:00,Zoom gestures,0.000154,36.1923
2026-05-19T00:32:48.100+08:00,Drag and drop,0.000045,39.4569
2026-05-19T00:32:54.800+08:00,Left-click,0.000058,32.4468
2026-05-19T00:32:55.935+08:00,Cursor movement,0.000066,35.1027
2026-05-19T00:33:00.240+08:00,Right-click,0.000041,33.5358
2026-05-19T00:33:01.419+08:00,Cursor movement,0.000083,28.7479
2026-05-19T00:33:04.046+08:00,Right-click,0.000063,32.2593
2026-05-19T00:33:05.014+08:00,Cursor movement,0.000082,40.5767
2026-05-19T00:33:07.240+08:00,Left-click,0.000064,27.2130
2026-05-23T11:34:34.749+08:00,Cursor movement,0.000079,21.2018
2026-05-23T11:34:40.991+08:00,Left-click,0.000057,13.6875
2026-05-23T11:36:54.995+08:00,Drag and drop,0.000066,9.9390
2026-05-23T11:37:02.273+08:00,Cursor movement,0.000088,13.5139
2026-05-23T11:37:04.709+08:00,Left-click,0.000062,13.2218
2026-05-23T11:37:16.329+08:00,Zoom gestures,0.000078,12.5964
2026-05-23T11:37:18.662+08:00,Right-click,0.000127,10.6294
2026-05-23T11:37:18.821+08:00,Drag and drop,0.000114,18.6667
2026-05-23T11:37:24.914+08:00,Cursor movement,0.000068,15.9268
2026-05-23T11:37:27.745+08:00,Left-click,0.000059,13.2920
2026-05-23T11:37:28.384+08:00,Cursor movement,0.000066,14.7745
2026-05-23T11:37:30.513+08:00,Double click,0.000075,14.6098
2026-05-23T12:25:41.276+08:00,Cursor movement,0.000077,14.7773
2026-05-23T12:25:45.833+08:00,Left-click,0.000071,19.1277
2026-05-23T12:25:46.515+08:00,Cursor movement,0.000066,15.0917
2026-05-23T12:25:51.110+08:00,Left-click,0.000070,19.9663
2026-05-23T12:25:57.284+08:00,Pinch gestures,0.000076,15.7242
